  0.0000  3803.6644   7.1808 
  0.9000  3860.6238   7.1877 
  1.9000  3913.6515   7.1945 
  2.9000  3995.6374   7.2013 
  3.9000  4044.8359   7.2081 
  4.9000  4127.3005   7.2151 
  5.9000  4193.7987   7.2221 
  6.9000  4283.2722   7.2294 
  7.9000  4400.4732   7.2370 
  8.9000  4506.7678   7.2449 
  9.9000  4602.3611   7.2533 
 10.9000  4721.4767   7.2622 
 11.9000  4840.1136   7.2717 
 12.9000  4973.5546   7.2819 
 13.9000  5120.8763   7.2929 
 14.9000  5268.8819   7.3047 
 15.9000  5467.6928   7.3176 
 16.9000  5701.0007   7.3315 
 17.9000  5971.2673   7.3467 
 18.9000  6285.6723   7.3632 
 19.9000  6661.4471   7.3803 
 20.9000  7134.8666   7.3947 
 21.8000  7771.6427   7.4026 
 22.8000  8571.7070   7.4026 
 23.7000  9381.9939   7.3940 
 24.7000  10000.0000   7.3797 
 25.6000  9827.5149   7.3671 
 26.6000  8546.7488   7.3586 
 27.5000  6384.9239   7.3570 
 28.5000  3952.4563   7.3523 
 29.5000  2056.2961   7.3427 
 30.4000   864.6616   7.3306 
 31.4000   300.6667   7.3140 
 32.4000    94.2665   7.2951 
 33.4000    24.0693   7.2746 
 34.5000     6.7798   7.2512 
 35.5000     4.1466   7.2299 
 36.6000     3.8869   7.2073 
 37.6000     4.1702   7.1880 
 38.5000     3.9594   7.1722 
 39.5000     0.0000   7.1566 
